Five Year Age Groups and Sex - Custom Region - United States
Year,Age,Both Sexes Population,Male Population,Female Population,Percent Both Sexes,Percent Male,Percent Female,Sex Ratio
2015,85-89,3855115,1438236,2416879,1.2,0.9,1.5,59.5
2015,90-94,1845012,586858,1258154,0.6,0.4,0.8,46.6
2015,95-99,492773,127382,365391,0.2,0.1,0.2,34.9
2015,100+,76798,15059,61739,0.0,0.0,0.0,24.4
2016,Total,323071342,159088102,163983240,100.0,100.0,100.0,97.0
2016,0-4,19922365,10187229,9735136,6.2,6.4,5.9,104.6
2016,5-9,20432396,10432706,9999690,6.3,6.6,6.1,104.3
2016,10-14,20620680,10522310,10098370,6.4,6.6,6.2,104.2
2016,15-19,21135528,10803444,10332084,6.5,6.8,6.3,104.6
2016,20-24,22358548,11483288,10875260,6.9,7.2,6.6,105.6
2016,25-29,22918599,11658869,11259730,7.1,7.3,6.9,103.5
2016,30-34,21824917,10993985,10830932,6.8,6.9,6.6,101.5
2016,35-39,20790976,10388564,10402412,6.4,6.5,6.3,99.9
2016,40-44,19694145,9776325,9917820,6.1,6.1,6.0,98.6
2016,45-49,20924678,10364801,10559877,6.5,6.5,6.4,98.2
2016,50-54,21811909,10716770,11095139,6.8,6.7,6.8,96.6
2016,55-59,21952344,10670037,11282307,6.8,6.7,6.9,94.6
2016,60-64,19460273,9302195,10158078,6.0,5.8,6.2,91.6
2016,65-69,16807456,7930215,8877241,5.2,5.0,5.4,89.3
2016,70-74,11802525,5450285,6352240,3.7,3.4,3.9,85.8
2016,75-79,8365665,3723920,4641745,2.6,2.3,2.8,80.2
2016,80-84,5865375,2454783,3410592,1.8,1.5,2.1,72.0
2016,85-89,3885571,1464608,2420963,1.2,0.9,1.5,60.5
2016,90-94,1883866,606266,1277600,0.6,0.4,0.8,47.5
2016,95-99,531147,141009,390138,0.2,0.1,0.2,36.1
2016,100+,82379,16493,65886,0.0,0.0,0.0,25.0
2017,Total,325147121,160125630,165021491,100.0,100.0,100.0,97.0
2017,0-4,19891967,10172744,9719223,6.1,6.4,5.9,104.7
2017,5-9,20304937,10368622,9936315,6.2,6.5,6.0,104.4
2017,10-14,20765794,10599514,10166280,6.4,6.6,6.2,104.3
2017,15-19,21103332,10783495,10319837,6.5,6.7,6.3,104.5
2017,20-24,22065664,11318624,10747040,6.8,7.1,6.5,105.3
2017,25-29,23336175,11885901,11450274,7.2,7.4,6.9,103.8
2017,30-34,21938443,11073752,10864691,6.7,6.9,6.6,101.9
2017,35-39,21190454,10596687,10593767,6.5,6.6,6.4,100.0
2017,40-44,19590752,9726075,9864677,6.0,6.1,6.0,98.6
2017,45-49,20916186,10358442,10557744,6.4,6.5,6.4,98.1
